Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity,extremity speed,extremity angular velocity(left arm),extremity angular velocity(right arm),extremity angular velocity(Left leg),extremity angular velocity(right leg),Partial joint attention,efficiency,Spatiality
1,0.804885074,0.043037264,0.986663949,0.546420225,0.711163416,0.008780279,0.444444444,0.916191177,0.031072378,0.045275569,0.110797218,0.015361082,0.030859634,0.058725699,0.005396117,0.0335945,0.976659715,0.315499171
2,0.811335014,0.041414571,0.988216075,0.551383737,0.714227607,0.008780279,0.444444444,0.916108403,0.031072378,0.045275569,0.110797218,0.015361082,0.030859634,0.058725699,0.005396117,0.0335945,0.976659715,0.315499171
3,0.817768026,0.040190323,0.990546235,0.557772799,0.717531314,0.008460087,0.444082045,0.916073512,0.029283291,0.039465726,0.110497585,0.021607012,0.035138919,0.057357797,0.002027361,0.034686268,0.976659715,0.324293495
4,0.823570104,0.040428987,0.993844091,0.565035827,0.72033299,0.008462619,0.443724903,0.916081113,0.023627181,0.04520979,0.097303823,0.025917013,0.036743625,0.054242523,0.000180531,0.034119806,0.963098593,0.327094365
5,0.834558681,0.039246373,0.994871281,0.573088248,0.726129516,0.01131156,0.44336831,0.916034624,0.045774535,0.056037063,0.146723735,0.028186657,0.036018141,0.079118859,0.00351033,0.079118859,0.976659715,0.33900305
6,0.841821498,0.040010735,0.997314514,0.581368144,0.730622618,0.008996699,0.442943594,0.916002603,0.030428245,0.050771644,0.105727264,0.024221724,0.031591792,0.061250298,0.001501944,0.034815784,0.962816952,0.307819837
7,0.850202458,0.039602927,0.99735593,0.589776265,0.736309482,0.009662029,0.442909484,0.915951511,0.032624629,0.054670121,0.116089557,0.019116052,0.029590223,0.067213584,0.002040747,0.036301428,0.954003744,0.319109312
8,0.857826798,0.04079488,1,0.599090748,0.741842849,0.009218469,0.442984441,0.915920917,0.030214938,0.056251658,0.101119426,0.022945243,0.032155249,0.062489212,0.001383268,0.035491673,0.89513349,0.328850198
9,0.867387349,0.043576547,0.998975439,0.609421878,0.749198904,0.009830935,0.443154896,0.915867325,0.028326818,0.057299167,0.125081752,0.022425586,0.040945077,0.069367222,0.00099779,0.041367112,0.889947307,0.34054648
10,0.876228418,0.04746201,0.998832783,0.619807427,0.756695801,0.010061471,0.443996851,0.915813866,0.028271748,0.065319598,0.113806967,0.021130677,0.039510234,0.066666399,0.00173262,0.039816237,0.905219539,0.342189346
11,0.883969724,0.052659537,0.999005351,0.62866697,0.763908822,0.010603573,0.445101566,0.915768854,0.037330603,0.083299933,0.101991552,0.018553663,0.041210166,0.0650945,0.000917096,0.03986425,0.94901367,0.357834681
12,0.892668292,0.057245659,0.99919041,0.638680547,0.771349672,0.009937067,0.446135917,0.915732503,0.031852072,0.066695663,0.108585028,0.023770639,0.034840825,0.065693758,0.000519614,0.037700469,0.973076561,0.344523856
13,0.901569663,0.061661573,0.99896262,0.649721347,0.779056672,0.009840075,0.446996394,0.91570102,0.029681381,0.062284115,0.110968136,0.02527624,0.039987511,0.065449905,0.001393396,0.039539031,0.972135687,0.341606398
14,0.910029503,0.066244329,0.998801228,0.661808906,0.78676133,0.010109299,0.447912542,0.915678289,0.033388731,0.071977276,0.102873625,0.026074668,0.040013966,0.064727825,0.001960567,0.039278172,0.965410886,0.33932656
15,0.918574179,0.071378462,0.998581656,0.673814753,0.793833779,0.010090323,0.449190191,0.91566952,0.033817757,0.076156067,0.097029164,0.022649347,0.037731215,0.062957574,0.003090832,0.037758296,0.96974962,0.337822455
16,0.926755752,0.07657752,0.997738538,0.685307066,0.800793731,0.009782366,0.450677339,0.915666927,0.028163575,0.070618433,0.094385758,0.024104251,0.036012895,0.062362421,0.002685933,0.036890744,0.976982686,0.3314696
17,0.934163786,0.081323535,0.997178432,0.698367177,0.807545824,0.009830644,0.451992391,0.9156723,0.029208916,0.068730147,0.091397779,0.027045538,0.043400964,0.060002652,0.001255909,0.038776356,0.979324689,0.333134276
18,0.94116183,0.08576863,0.997429231,0.711125531,0.813602842,0.009994138,0.453221489,0.915689376,0.032380157,0.076814867,0.081796852,0.0288709,0.04565139,0.055958959,0.002955794,0.038103881,0.977734685,0.352098431
19,0.947660941,0.090733454,0.997348042,0.722479904,0.818798379,0.00987207,0.45454291,0.915715682,0.030068764,0.081077005,0.075861421,0.029844402,0.044779844,0.053810033,0.001812552,0.036971204,0.986209909,0.354747589
20,0.953481998,0.096781677,0.995896499,0.733944838,0.823802641,0.010131986,0.455951309,0.915745239,0.03193897,0.079535338,0.074859117,0.029706213,0.049804483,0.054236861,0.001973944,0.039015504,0.988301901,0.359205274
21,0.95946138,0.10210185,0.993336248,0.745735002,0.827968011,0.010149871,0.457462198,0.915775764,0.028738168,0.070297988,0.081293385,0.032390843,0.050566692,0.055183405,0.002635605,0.039656287,0.992934254,0.373242748
22,0.964105284,0.106635757,0.990840422,0.756793596,0.831572809,0.01023419,0.458993721,0.91580582,0.031545356,0.081693287,0.068033121,0.034932256,0.05303757,0.051357503,0.002655173,0.039148152,0.985256798,0.363228614
23,0.967748553,0.111411207,0.988237112,0.768109969,0.834744898,0.010055877,0.460383498,0.915834448,0.044516202,0.082552538,0.062231113,0.036270605,0.057396438,0.048626122,0.002527949,0.035573291,0.979741851,0.34818228
24,0.971559538,0.11538738,0.985232786,0.779212093,0.837813683,0.008882096,0.461471044,0.915858135,0.03348274,0.071337708,0.059343955,0.036427423,0.049630758,0.046556554,0.001736058,0.033153684,0.973608457,0.325064268
25,0.975694582,0.119208397,0.982477944,0.790824461,0.840113733,0.008524205,0.462283242,0.915878894,0.02980487,0.068898098,0.059608818,0.038888032,0.05388072,0.043128119,0.003172316,0.033974218,0.946762849,0.320892696
26,0.977898762,0.124115775,0.981110549,0.801567388,0.84168884,0.008159898,0.462879983,0.915899045,0.026277371,0.070860728,0.045788571,0.039014882,0.056031576,0.034942845,0.001419952,0.032497326,0.92311654,0.302491299
27,0.979860764,0.128180513,0.979934786,0.811567061,0.843511945,0.008662139,0.463104902,0.91591657,0.03771154,0.085136208,0.040728247,0.041160636,0.064322645,0.031585433,0.002171606,0.03955623,0.934206823,0.30860999
28,0.980816639,0.132628518,0.979583405,0.820658268,0.844381639,0.00796804,0.463061406,0.915933927,0.029404776,0.08174701,0.023478031,0.041316286,0.062181908,0.024871372,0.001514068,0.038811823,0.94717621,0.296784607
29,0.981364847,0.136837704,0.982926292,0.828988509,0.843226524,0.00829607,0.46288258,0.915959543,0.028781423,0.081208698,0.003910208,0.040373814,0.058979635,0.029477461,0.000457016,0.037257543,0.956500359,0.309114394
30,0.983615484,0.140155771,0.985084871,0.836573811,0.842595907,0.008378906,0.462626788,0.915989254,0.029182946,0.088049798,0.016426134,0.041751786,0.064771684,0.02017639,0.001447299,0.039946301,0.955848235,0.31507957
31,0.986220251,0.143533363,0.985815244,0.843724216,0.84221229,0.008774316,0.462316123,0.916016981,0.033275733,0.095677392,0.019080647,0.039300487,0.067528523,0.013831686,0.001702675,0.040060879,0.95687475,0.301358238
32,0.989768074,0.146666737,0.989470069,0.85021972,0.84015055,0.009133309,0.461849859,0.916048569,0.029696749,0.095227391,0.035769551,0.038368283,0.068978451,0.028753405,0.001301664,0.040255025,0.950246359,0.328477635
33,0.993540209,0.149501145,0.992407997,0.857047551,0.837937216,0.009239702,0.461138341,0.916080903,0.029417541,0.100320796,0.037326194,0.04261471,0.070660948,0.025429523,0.00148864,0.042478372,0.950758877,0.307368712
34,0.996043675,0.152627195,0.994687866,0.863697377,0.835863887,0.009341851,0.460241649,0.916112904,0.031710805,0.099721505,0.03476845,0.04230798,0.072255348,0.023018775,0.001906266,0.042961248,0.959353128,0.296155398
35,0.994972455,0.155776334,0.997010137,0.869194793,0.833568681,0.009191088,0.459272811,0.916144762,0.02724298,0.091778325,0.039524505,0.043050455,0.06907542,0.023040558,0.001293479,0.042047203,0.979155492,0.305179089
36,0.990246526,0.158440011,0.999011925,0.874022828,0.830990145,0.010293566,0.457996548,0.91617399,0.028800733,0.119485122,0.042592071,0.042723663,0.072165656,0.02075049,0.0011073,0.043083494,0.982078338,0.287751985
37,0.985078966,0.160795996,0.999011925,0.87835633,0.828194702,0.010642824,0.456399582,0.916200565,0.025800677,0.119069367,0.043735916,0.043820695,0.073748067,0.019217248,0.002395041,0.044088286,0.978358219,0.297277927
38,0.979861541,0.163425537,0.997526855,0.883404464,0.825083572,0.011084778,0.454814312,0.91622446,0.027852325,0.122011667,0.040641045,0.047486074,0.078123852,0.015544549,0.000981248,0.047103722,0.987837683,0.31156183
39,0.974225377,0.166039946,0.996019761,0.88776255,0.822065594,0.011569088,0.453216015,0.916246052,0.027480748,0.134050447,0.045521679,0.05004882,0.081778448,0.015000665,0.002018784,0.049435226,0.987041391,0.321582024
40,0.967411477,0.168400954,0.994045256,0.892074097,0.81845918,0.012840153,0.45118622,0.916264245,0.032721172,0.158563966,0.061144329,0.048779657,0.08348919,0.022410657,0.002516312,0.049600818,0.983662084,0.334257556
41,0.960768549,0.170994677,0.992775155,0.895354786,0.815218027,0.012400516,0.449038668,0.916278824,0.031528076,0.152086347,0.054073577,0.049489854,0.085056508,0.020637053,0.002321383,0.050454886,0.978237558,0.313329942
42,0.954996313,0.173944495,0.992259753,0.899462979,0.812581851,0.01157698,0.447423742,0.916291382,0.026215355,0.126568967,0.047626211,0.053345333,0.084235417,0.01310345,0.00174879,0.051592781,0.976644475,0.340480244
43,0.949320738,0.177372758,0.991838687,0.903301344,0.810507969,0.011913044,0.44619064,0.916301928,0.0250521,0.129871898,0.046284864,0.056647025,0.088511615,0.009020926,0.001483475,0.05443449,0.973284489,0.346992679
44,0.943945914,0.179855565,0.991413677,0.907668378,0.808605659,0.012548021,0.444935835,0.916309947,0.028335988,0.14273278,0.040861689,0.062091944,0.088140108,0.006423428,0.00131097,0.056337019,0.983311046,0.343771102
45,0.938798,0.182504642,0.991491579,0.911976234,0.807243581,0.012940857,0.44376109,0.916315118,0.038548805,0.144672707,0.043046121,0.065340676,0.087862877,0.003394124,0.001242852,0.057451332,0.972439079,0.36745905
46,0.933549864,0.185150903,0.991383436,0.914910185,0.806007939,0.012216947,0.442860328,0.916318482,0.029106297,0.133116598,0.04720058,0.062839797,0.088167219,0.004166779,0.000804021,0.056627631,0.977588773,0.368052571
