Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity
1,0.999999996783741,0.5049694740530829,0.0,0.7805862294321839,0.22540422580412955,0.0436087413476861,0.6121828293083018,0.999999370474209,0.11954104918681506,0.03208987408947453
2,0.9940644427748502,0.5060523684620362,0.001591703981334795,0.7791211422581874,0.22422671532387645,0.0436087413476861,0.6121828293083018,0.9993803837597229,0.11954104918681506,0.03208987408947453
3,0.9925794919548236,0.5068143280415928,0.0018957103023392798,0.7790368151479512,0.22371384193309066,0.009099514881031938,0.614080719368815,0.9987911012435047,0.01531747888549469,0.010381555941721599
4,0.9918294932610927,0.5074440299517496,0.0019841747424129406,0.7788692389419806,0.22342964198465715,0.005829180063946752,0.6145543556242756,0.9983317032149022,0.01535558631444296,0.008414101526659666
5,0.9916561943700918,0.5076919958385643,0.0021038181967092747,0.7782112892123567,0.22357779735241734,0.004043925553408167,0.6148389879238335,0.9979163822676753,0.014006395426918566,0.004992026891405522
6,0.9917871520164617,0.5079101717838922,0.002149588231613078,0.7779912283137241,0.22382424155714223,0.0030767433247333564,0.6149861278598132,0.9975494645958104,0.013735555815056323,0.002584353189002587
7,0.992091459980407,0.508063750497556,0.0021634650065265053,0.7778716022519577,0.2242172464658726,0.0029490577317352554,0.6150178787651216,0.9972592792400822,0.015098122965172083,0.002011375934530853
8,0.9923272264027654,0.5080250325050798,0.0021583924039321445,0.7779607101760752,0.22445322830207,0.0011016991853829772,0.6150443211097947,0.9970090106807594,0.01299648299934666,0.0006923958313971937
9,0.9930080056275153,0.5076209151965972,0.0019255191308037156,0.7789033229062049,0.22449381267556542,0.005339575407704571,0.6148195785852648,0.9968512035779594,0.017162083250434106,0.005152770170033394
10,0.9930435492523618,0.5074121681264921,0.00196239753472304,0.7794471166347932,0.2246213071433244,0.0016276215678347578,0.6145653163528387,0.9967374985000289,0.0153610692295067,0.0031768794426101895
11,0.9931052192791829,0.5073896610863279,0.001888699032661333,0.7798693735387257,0.22456768839044575,0.0004144327274494858,0.6144604875862409,0.9966535981609908,0.013289283748974593,0.001013227338855005
12,0.9932434221332018,0.5073264253905819,0.0018601437784012517,0.7795340549524428,0.22465820773372347,0.0,0.6143341457863225,0.9965859786756717,0.012602863834084616,0.0001406499645736405
13,0.9933232622256056,0.5075452243381137,0.0016523274129160764,0.7787538074616152,0.22448024955569895,0.0020021313324589747,0.6141187183354339,0.9965073104890483,0.018272590084492786,0.0
