Frame,Center of Mass distance,Symmetry,Grounding,Arm fold,Leg fold,Kinetic Energy,Potential energy,Bone length coherence,Torque,Center velocity,extremity speed,extremity angular velocity (left arm),extremity angular velocity (right arm),extremity angular velocity (Left leg),extremity angular velocity (right leg),Partial joint attention,efficiency,Spatiality
1,0.8628524136857424,0.14211294032981078,1.0,0.7651318267760082,0.7084795393835118,0.022757705163815506,0.4444444444444444,0.9290730260748067,0.030502164229298443,0.1310786493426865,0.18181019895624292,0.013336153879050478,0.09277226401272001,0.11190905527349815,0.0028121335787091237,0.07675549473233181,0.9933567529416016,0.416270816499615
2,0.8479602335622856,0.15093251483037143,0.9975953582394306,0.7660221286095787,0.7089122851387093,0.022757705163815506,0.4444444444444444,0.9289974327675996,0.030502164229298443,0.1310786493426865,0.18181019895624292,0.013336153879050478,0.09277226401272001,0.11190905527349815,0.0028121335787091237,0.07675549473233181,0.9933567529416016,0.416270816499615
3,0.8347021031252501,0.16008375093420651,0.9942143479079999,0.7651552542074006,0.7140592967380316,0.022588703614034616,0.4475103298229763,0.9289203245451628,0.03890251435364055,0.15384505852372796,0.1644526036252978,0.00778337442484907,0.09320779970891999,0.10751873065568382,0.001954589483496203,0.07527244888672643,0.9933567529416016,0.4058595957925436
4,0.8244418374741482,0.16904598128768883,0.9898757453243784,0.7642987420871084,0.7173024013291798,0.02110800350427731,0.4504630008143525,0.928853420910886,0.02837071435987913,0.1593432022103864,0.13262504021478816,0.0041487112461500286,0.0842856517979894,0.09565339930410725,0.001794647392100249,0.06747714416328625,0.9939719228844766,0.3888293702235586
5,0.8137655784626749,0.1783975024079801,0.9848853817130113,0.7636772952594656,0.7207658076424573,0.021075430312161626,0.4534134366297129,0.9287876431086991,0.03317253190148155,0.15284591778529877,0.1408850853790877,0.0068376546584960245,0.0855530215620616,0.09732252327620353,0.001963344250042157,0.06857832931434941,0.9933567529416016,0.38896773000529994
6,0.80462122387966,0.18753338402881106,0.9793581426847463,0.7627616347261048,0.7234152295951384,0.020319951938380997,0.4564001110025552,0.9287293862272354,0.03332788872224196,0.15443513376684936,0.12850992337751976,0.007067215059859899,0.08291594090174856,0.09160546321031171,0.0019091227145719366,0.0654455265420226,0.9947623466127088,0.3800170840120187
7,0.7970366364140956,0.19660018280825828,0.973483382639734,0.7617516133478763,0.7251992906250847,0.019590154145606088,0.45933858096169755,0.9286757911669952,0.03454711990398509,0.1572797742753539,0.11330951728799586,0.007182390629814385,0.08051930784288462,0.08539979975336623,0.0018470733868948357,0.062219665348594064,0.9953536374228259,0.3722918644942547
8,0.791130978581197,0.20511599358827792,0.9674472735512321,0.760777541419104,0.7262600170793779,0.01866665129685953,0.46219722878586483,0.9286287505108061,0.034320093171549826,0.15564916369954845,0.0989459356134345,0.008411323941037423,0.0776869117465973,0.07862812770778208,0.0017824444272283298,0.058618139795392266,0.9978598286107311,0.36183769434516033
9,0.7869770300250181,0.21298152653556518,0.9614079820358367,0.7597790813539014,0.7265039939343712,0.017830770789638746,0.46495314212298794,0.9285877593134969,0.033455228058161396,0.15658698765302623,0.0827857453420073,0.009206064483034952,0.0751025506225125,0.07162213382734166,0.0017356349041351814,0.05502175666869531,0.9983156464646732,0.35264807433140277
10,0.7842573542308406,0.22038738763756677,0.9555189010698046,0.7589364535136658,0.7260424420451592,0.01699876214320518,0.467620906777389,0.9285530218227235,0.033344520964643125,0.15613751984154753,0.06763471768414954,0.010665733032137555,0.07271248087808067,0.06448273342830937,0.0017513368655941454,0.05144820536489627,0.9981854906961944,0.34125722924052215
11,0.7830785964472762,0.22697377731547125,0.9498856872259931,0.7583891463417608,0.7248791879395062,0.01619160631197454,0.47018673063845806,0.9285251296918263,0.033369794300301396,0.15581132805306994,0.05235733347183293,0.012250902886973239,0.07098021471436476,0.057261943127085844,0.0017838513722276763,0.048090809190543975,0.9983288422562395,0.3304578839358106
12,0.7831738651842786,0.23297322617316799,0.9445958572439674,0.757572753078326,0.7230953969705367,0.015420335093028155,0.47261549631121913,0.9285041784070045,0.03208556289571533,0.15671695825047885,0.03932244789458956,0.014508011924945923,0.06859792296300862,0.05047068846874879,0.001924082465501176,0.04465072928690904,0.9987589264397765,0.31675928947798765
13,0.7842497712824194,0.23838732332463516,0.9397181515446228,0.7571790219437982,0.7254240097809745,0.014761301817598509,0.4748846622146329,0.9284883434330116,0.03220670051748094,0.1570108376324739,0.02799085310751678,0.016616691658524592,0.06685132926027136,0.044094891415398595,0.002091668908486334,0.04160483275337624,0.9988632384955324,0.30114392442630067
14,0.7862848438448954,0.24310113846857653,0.935277711300416,0.7567714120510004,0.7301135890487805,0.014094557760766449,0.47699154497043084,0.9284770174240354,0.03182110918163092,0.15728733001506479,0.020229868612564574,0.019801397662448938,0.06424495327124184,0.03817692429349266,0.002143206581690681,0.038408204086775435,0.9952853662288099,0.2877638782012445
15,0.7892354079302331,0.24717478200876125,0.9312990411984257,0.7561718526554415,0.7347596376533025,0.013613649384720842,0.4789133093038802,0.9284675468096371,0.03029243593589212,0.1611011011220643,0.018207740170592863,0.022735410725311878,0.06189263873170993,0.0327318803143189,0.002237434531349073,0.03548419464226081,0.9940065214018112,0.2752564232254525
16,0.7964990103561694,0.2506105313238358,0.927596923993462,0.755633499623148,0.7398782804634937,0.013970918118794003,0.4806252382435514,0.9284600503645782,0.03111345827859572,0.15907150858539648,0.10061110233653507,0.02461436829535416,0.05913226807618967,0.052831982731947925,0.0021470407620610915,0.04198659405305159,0.9948507367198091,0.30600208839211324
17,0.8034483402457591,0.2537988547502291,0.9241296698932232,0.7550291837594532,0.7439637791261379,0.013527438110947336,0.4821313117708856,0.928454696128277,0.030367462592248387,0.15754363366705015,0.09937266077169103,0.025298698710455297,0.05615082576223614,0.05091923894066504,0.0021156472926198945,0.04015127426358794,0.9966002565193682,0.29546609184253736
18,0.8095605575041539,0.25668883931403663,0.9209975253448478,0.7543903684964643,0.7465705782505686,0.01310754764404651,0.4834220222454695,0.9284491639538912,0.028884345923335303,0.15753312351028442,0.0938984323178488,0.027034393708515004,0.05300545775606522,0.04829769619841649,0.0018659624778170059,0.03798868273293064,0.9977361421359883,0.28440716265693755
19,0.8142253842237955,0.2593974269589633,0.9182950084270665,0.7539512743852393,0.7472814491460904,0.012817607049659374,0.4844894410318579,0.928442683913769,0.02830943445015026,0.15796657749080623,0.08448146107993866,0.029241119422748745,0.050369553485352714,0.04586510096067846,0.0018289540927637043,0.03608799541726169,0.9960986558787647,0.27270667211484617
20,0.8168160164844847,0.26203272202060846,0.9160927690169102,0.7537165825851355,0.7457981506941791,0.012562159321739447,0.48531988823464317,0.9284333558301865,0.027007177180849093,0.15686392467132507,0.07290288258291265,0.031511452394911335,0.0477839682364722,0.04429202636936383,0.0017801886793685408,0.030896861750186837,0.994225053564133,0.26240259210301126
21,0.817367990102385,0.264418995450718,0.9144213584125546,0.7534732408553944,0.7418934448476353,0.012567105041716669,0.48591059345009563,0.9284187264433975,0.02708927921560573,0.158484304610173,0.0617664181648121,0.035279974557765235,0.04573476740421557,0.044990488525120095,0.0016042147497285493,0.031501307621775235,0.9908345265201395,0.25710866462097426
22,0.8155165255890138,0.2667521798834054,0.9131016059799075,0.7531690115302736,0.7357529722145342,0.012644310001090682,0.4862689478961204,0.9283943889020062,0.02639279455321271,0.15773111838569662,0.05462573299133192,0.036221584158377784,0.04330287112129993,0.04797354040511533,0.0014844050281918385,0.03187449892119826,0.9784550929671739,0.24997396989253814
23,0.8105488874808888,0.2693518046276837,0.9107482012923199,0.7529434746793536,0.7275433780309934,0.013084518633113568,0.48645771979643604,0.9283332109437705,0.15437780522021577,0.15916308018202346,0.06905102063769224,0.038606341316053686,0.04089463088128179,0.05631453940718155,0.0011666666300764498,0.03395387790112926,0.9788685425751196,0.25515290958787745
24,0.7641736800793608,0.25930194451702665,0.980220898615517,0.7524096959120273,0.7334656084414672,0.06965881731184598,0.4837560781257634,0.9287297186655186,0.28443131113010844,0.15841156540377196,0.8481622621613097,0.03907588396812663,0.038647269788929246,0.6234301969239617,0.001123359100147415,0.6234301969239617,0.9791136920703766,0.5760708215891776
25,0.7644927537168067,0.25976951708719165,0.9889961225310733,0.7515613473019811,0.74177251406596,0.01706959018834434,0.4804656155553814,0.9291076517766109,0.04290637642834834,0.15910667023290886,0.14371434556974164,0.039589359619154454,0.03564976539839688,0.11074045707285225,0.0008925970748786553,0.11074045707285225,0.9789535778316486,0.3521619501326504
26,0.7603117291083127,0.2617932322595607,0.9910306480439531,0.7507461999246988,0.7509900494864126,0.014687356540378829,0.4795840983778699,0.9294579356910713,0.03400739156947396,0.15916488519450891,0.09896680818963176,0.04152723917092546,0.034719790099226974,0.07996168040669022,0.0007705171411325373,0.04555834484160588,0.9795345285678173,0.3331917102828357
27,0.7565509683785996,0.2637159722302766,0.992562031865004,0.7501210846814849,0.7604319958587065,0.014713314493968087,0.47880235399718596,0.9297827819664775,0.03607185492351189,0.16038793618606279,0.09804225526857312,0.0429813960191497,0.03302799223055467,0.07843651626166728,0.0007221734289796517,0.04553171710530637,0.995727193963828,0.335452218232837
28,0.7540545489350519,0.26510325010367974,0.9940873690749576,0.7492578954330262,0.769478498788828,0.01442954083199725,0.4778835466621064,0.930084712188617,0.03498486503497471,0.16056331527632006,0.09458191228812822,0.04586456610475857,0.03202739507964519,0.07411859323767607,0.0006932325194972873,0.04499368475341299,0.996588919081536,0.3379836016900661
29,0.7535969688131968,0.2659678210860316,0.9959064442871619,0.7486617208518302,0.77727246769274,0.014047439280049463,0.47678848457394907,0.9303665134562864,0.03499827040739739,0.1607420344843058,0.08692511814503878,0.05018579915816605,0.03217989496894165,0.0664794137489896,0.0005049713778459908,0.04374945484018337,0.9950888993475931,0.33884657297640847
30,0.7558196378481248,0.2661001210573954,0.9983044029512554,0.7480635717135664,0.7834281805643387,0.01367133430568434,0.4754988601981136,0.9306299920367042,0.0367102187157333,0.16380385204824224,0.07967343205255484,0.051231933563967415,0.03207010598315475,0.057038899316796364,0.0007279434683508393,0.04060156233028642,0.9935909651380508,0.33271599910960464
31,0.7587416872248178,0.2653027764627293,0.9986369665616042,0.7474327086630539,0.787172278683119,0.012613142260421267,0.4739991001064492,0.9308760168873224,0.03081129545312483,0.1657024313583028,0.0341355394584401,0.05322567705728241,0.03153141852086539,0.028251496437480945,0.0004928373449721867,0.03178391084180542,0.9924819427784332,0.2802751302672829
32,0.7620878263502464,0.26435718342352854,0.9951865793238998,0.7466389813344243,0.7908748746964185,0.012725769556197874,0.47231295075420615,0.9311070140887805,0.030210036793647258,0.16631721860554952,0.0404383278840948,0.05468235494239611,0.0318337041022092,0.02827549207805217,0.000707777867385736,0.03244352214172699,0.9923176063971779,0.28661119042846017
33,0.7660359614910263,0.26303662641564907,0.9913743501484283,0.7458084516003748,0.7943914526360092,0.012987308352464543,0.4704650883113122,0.9313239265209371,0.030606473691013242,0.16881675142087052,0.04846180326065556,0.05619894140907459,0.03127286597011614,0.028741441272106278,0.0005167761485736267,0.03280192776719652,0.9966409505732563,0.2896565634138326
34,0.770433962752839,0.261388227084141,0.9872327397895015,0.7449989346517119,0.7979112574034394,0.013178548022012428,0.46846577494753294,0.9315283166583562,0.030312194875384554,0.17000388956382012,0.054558663800743326,0.05717740327407568,0.031624647002088294,0.029645887732324204,0.0006626898934107314,0.033300768853561494,0.9945434108659765,0.30033003913703127
35,0.7753998638451984,0.2595164743759484,0.9828018468259747,0.7439209644071842,0.8013465009338483,0.013411851670048571,0.46633403631777937,0.9317214173461681,0.030659058220651545,0.17115553650684365,0.0615949392069115,0.05908915003490378,0.032228841744404144,0.03069146499237676,0.00042876050151037444,0.030502364192921173,0.9917661546764435,0.3107388615862543
36,0.7808122334093676,0.2572704399884279,0.9781052212168582,0.7429888945906445,0.8047231857618953,0.013679916940708277,0.4640759704894141,0.9319035385338063,0.030479231459164452,0.1735096459892502,0.06796508406011752,0.06103022135695656,0.03268138696657977,0.03186042550655753,0.0004709204800815886,0.031393008457523464,0.992729638817975,0.32034060423983624
37,0.7867979726434097,0.2547858151338901,0.9731692771053663,0.7418922982665557,0.808076653184379,0.013954124494122248,0.46169539642891105,0.932076039059356,0.030966723892553755,0.17559099187078833,0.0746889086709531,0.062485365396289905,0.03322110473247053,0.03314323684149088,0.0005527729015637631,0.032212426742562826,0.9935874662263565,0.3301083764354145
38,0.7934206336337473,0.2518798265646024,0.968004516500247,0.7406533265074008,0.8112591328128844,0.014327000310763654,0.4591845479065056,0.9322397796547105,0.03061878575271152,0.1813283574864579,0.08246505949601769,0.06450495742771892,0.034350987658705735,0.03458685924182912,0.0006577660484623823,0.033360701082063446,0.9964450609453354,0.3410008306418304
39,0.8006069631822599,0.2488568325553324,0.9626332163897531,0.7392426563723304,0.8143534672334523,0.014705187716588181,0.4565454627586929,0.9323949184881367,0.03205709098934231,0.1856014902136095,0.08975068645432996,0.06694944030708819,0.03487936044679302,0.036067456861518445,0.0006585444762906344,0.03447406440384991,0.9970972669864295,0.3498515361341868
40,0.8084608742537501,0.2454123159569423,0.9570722436364192,0.7376714821038408,0.817414137997539,0.01502958225293173,0.4537897134586176,0.9325420257501597,0.031268377635611994,0.19065383399402952,0.09712399149690545,0.06890039082271275,0.036360799021421523,0.03766937549784692,0.000838612055890315,0.0357326413354953,0.9978348622242302,0.3601914560059811
41,0.816915156036053,0.24171554303125647,0.9513441934711876,0.7359564310264965,0.8202985031768568,0.015403576119029823,0.4509493462027625,0.9326821606090632,0.03221757697438911,0.19419526988885452,0.10492054940464728,0.07083809076943705,0.03692006913773785,0.03929521606507015,0.0007944519655608661,0.0412999900629402,0.9980717155800636,0.36793422788963714
42,0.8259295276125567,0.2375985928312003,0.9454738888238259,0.7342455387790158,0.823089835947896,0.01570595064081933,0.44803174194124723,0.9328160909836523,0.03205689171644723,0.19756224130741276,0.11105856651897564,0.07271139694330177,0.03778432079749284,0.040933548058809985,0.00087070819058438,0.04261685437579191,0.9981079068766516,0.37402401547979547
43,0.8355748650736186,0.23313546233143637,0.9394702404896355,0.7326103220151382,0.8258596601001239,0.016073121280987947,0.4450485213594694,0.9329439269086927,0.032158394474746305,0.20101581259372167,0.11805212901295696,0.07507217269000564,0.03860438982910484,0.04257256431003838,0.0008089637031847936,0.04411677637501651,0.9984038074565689,0.3809500683659913
44,0.8457950288147779,0.22841067397808346,0.9333653909802384,0.7307167306240658,0.8286318590990318,0.01649842681336482,0.4420287004885453,0.9330663292836184,0.032554077466089154,0.20650147979050856,0.12473790449494962,0.07791359500766533,0.03928662327486932,0.04406482879089092,0.0007911135520401238,0.0457419089244586,0.9981127355771523,0.3891023988083888
45,0.8564763271075374,0.22324559866028354,0.9271949834768396,0.729255256987387,0.8314072730371056,0.016833914257424455,0.43898042778540114,0.9331836928232105,0.03198335722574658,0.20971429232564595,0.12968858158503208,0.0797929180689971,0.04039057595155412,0.04539774027840792,0.0007166070252591961,0.04694649688027688,0.9948132154824015,0.3932264053218463
46,0.8676704754334059,0.21770684467727247,0.9210423975640432,0.7277134988437859,0.8342676079486298,0.01732727310187028,0.4359280029528601,0.9332963905528047,0.03235466668670166,0.21613448076531103,0.1352738588861089,0.0831068358061579,0.04107497149688484,0.046115154711524095,0.0006585619192827207,0.04845824644413075,0.9890356178336976,0.4013680739752683
47,0.8789991140831949,0.2119201455923898,0.9151284936682434,0.726111619082838,0.8375120486551977,0.017722761713674474,0.43292445342673685,0.9334046130510054,0.03265785110759763,0.2218275038861594,0.13725241986794484,0.08638702884999216,0.041038695643408715,0.045042483239253514,0.0006802523703264491,0.04928606703346713,0.9883148448155128,0.4086939446249687
48,0.8903153403156336,0.2058429398691834,0.9096295782393287,0.7247223820404827,0.8408895361314526,0.01801096204682287,0.4300209644337324,0.9335087253131689,0.032857341427459004,0.2259226212842123,0.13738634546384304,0.08871247115887416,0.04082257819941894,0.04256102503298938,0.0008935874648805664,0.08871247115887416,0.9937020816944153,0.4121376288609268
49,0.9013487496847494,0.19952224738066657,0.9047735130428584,0.7232135973852597,0.8444315434269754,0.018294798615682204,0.427250792815127,0.9336085824245123,0.03273892857549523,0.2315242172508254,0.13469863508180588,0.09249570944755879,0.040728776064778385,0.03823804938993196,0.0016853096096081737,0.09249570944755879,0.9972611588539801,0.416027955708751
50,0.9122370784790406,0.19292847558207993,0.9007124180843318,0.7220482512789513,0.8479138267526949,0.01854082691426743,0.4246514092526237,0.9337040576982604,0.03224516273584256,0.23506021256475237,0.1334251171823226,0.09535649414389409,0.04068165143817682,0.03307267772815088,0.002395040170351277,0.09535649414389409,0.9979532000978095,0.4248494979412269
51,0.9229416133484535,0.18598266948525133,0.8974548859163607,0.7208642954584477,0.8510888125640094,0.01885990897067695,0.42224700728465,0.9337949560955379,0.032172664374682206,0.23921738160677183,0.1317750811867868,0.09826923509430072,0.04025475945621318,0.027968270159643344,0.00346012571571271,0.09826923509430072,0.9975773212298836,0.4381229962005907
52,0.9331882553946902,0.1787639626608687,0.8948755289193497,0.7196691324259221,0.853757621015325,0.019175956093105365,0.42003064386732997,0.9338811907114539,0.031245660257544158,0.24279778637186977,0.13139129195638427,0.1017255598056385,0.0399430809232867,0.024089788727830203,0.004454141034457728,0.1017255598056385,0.9972930329864432,0.45846195817263385
53,0.942396333533464,0.17115860683144063,0.8927216623979713,0.7186477441290566,0.8554221214976611,0.019476035258843175,0.41801367431209013,0.9339627470844047,0.03013517593502268,0.2446796163299826,0.12958988198023794,0.10526881474095448,0.039838917748727616,0.021577745591359464,0.005943137068508764,0.10526881474095448,0.9970609584567818,0.47729844766475044
54,0.9498136634623201,0.1631999537982558,0.8907183246686458,0.7175705358670978,0.8559149566654678,0.019795231563795656,0.4162110955748828,0.934040574868171,0.028972116013584008,0.24547115195070757,0.12571771416563185,0.10796014964744763,0.03987047144321502,0.019283806911397947,0.007510893750777577,0.10796014964744763,0.9966695960331795,0.49640979857202944
55,0.9546702598482415,0.1550862897336803,0.8888110962314973,0.7165514676729988,0.8550254885989699,0.019979260844848558,0.4146555676522016,0.9341158134705848,0.02774562924337166,0.24395190763026303,0.1182329110112663,0.11174530278974495,0.03868225266302736,0.016352890273417325,0.009506752435550598,0.11174530278974495,0.9960270002522891,0.5092517191496893
56,0.9566835544063427,0.14701489342065083,0.8869990223584584,0.7156350449708879,0.852316246704744,0.02013360979410926,0.41338577059622533,0.934189534554458,0.026853952830642052,0.24013103795153784,0.11121415338806491,0.11380087702266677,0.03854035635654069,0.013701174781014985,0.012041493727844167,0.11380087702266677,0.9951881579604799,0.5191113802653045
57,0.9561796744303741,0.13921170648194656,0.8854326318415813,0.7144951413055549,0.8476181623034345,0.020290412138089877,0.4124420419588916,0.934262781902518,0.027120017336321352,0.23572438171563043,0.10512348039653131,0.11701592572651576,0.03667817590388527,0.011776972945485608,0.014992726082228267,0.11701592572651576,0.9943424115791284,0.5234354611864256
58,0.9535858771724044,0.13193807554786788,0.8843782938118345,0.7133430948923173,0.8406475515224304,0.02038950836171238,0.41186240558712117,0.9343359705230732,0.027210244537038675,0.22815584389095495,0.10167297771754358,0.11941621313006982,0.03539306956122028,0.010564316862864189,0.017717908731412293,0.11941621313006982,0.9923836788268422,0.5264662618734129
